EndYear,Age,Win,Minutes Played,Shots made,Shots attemped,Offensive rebounds,Defensive rebounds,Personal fouls
1985,21.6899384,1,40,5,16,1,5,2
1985,21.69267625,0,34,8,13,3,2,4
1985,21.69815195,1,34,13,24,2,2,4
1985,21.7008898,1,36,8,21,2,2,5
1985,21.7063655,0,33,7,15,3,2,4
1985,21.72279261,1,27,9,19,1,3,5
1985,21.72553046,1,33,15,22,4,4,2
1985,21.73100616,1,42,9,22,2,7,4
1985,21.73921971,1,43,18,27,2,8,4
1985,21.74469541,0,33,12,24,0,2,4
1985,21.75017112,0,44,4,17,0,5,5
1985,21.75564682,0,39,11,26,2,3,3
1985,21.76112252,0,42,11,22,4,9,3
1985,21.76659822,1,30,9,13,0,4,4
1985,21.76933607,0,41,10,24,3,3,4
1985,21.77754962,0,24,6,10,0,2,1
1985,21.78302533,0,30,9,17,1,2,5
1985,21.78576318,1,37,9,15,2,3,4
1985,21.79123888,1,42,7,13,2,0,3
1985,21.79671458,1,35,7,13,1,2,3
1985,21.80492813,1,43,8,16,1,1,5
1985,21.80766598,1,35,10,23,4,3,3
1985,21.81587953,0,37,13,28,1,7,4
1985,21.81861739,0,30,6,17,0,1,5
1985,21.82409309,0,44,12,25,2,6,4
1985,21.82683094,0,27,7,16,1,1,2
1985,21.83504449,0,45,8,20,1,2,2
1985,21.84052019,1,41,12,22,4,4,5
1985,21.84599589,1,35,12,18,1,11,3
1985,21.85968515,1,44,20,33,2,5,1
1985,21.86516085,0,39,7,18,1,3,6
1985,21.87611225,0,34,10,14,1,6,2
1985,21.88158795,1,38,9,16,0,2,4
1985,21.8843258,0,42,16,25,4,3,3
1985,21.89527721,0,42,12,24,4,2,4
1985,21.90075291,1,30,8,14,2,4,3
1985,21.90349076,0,36,10,21,4,8,5
1985,21.90896646,1,43,11,16,2,12,3
1985,21.91444216,0,44,8,17,1,6,3
1985,21.91718001,1,40,8,20,0,4,4
1985,21.92265572,0,41,15,27,2,10,5
1985,21.93086927,1,39,11,20,1,11,4
1985,21.93908282,1,37,6,15,2,2,3
1985,21.94182067,1,43,17,24,1,7,3
1985,21.95003422,1,38,11,17,0,7,3
1985,21.95277207,0,41,12,19,0,7,3
1985,21.95824778,0,37,9,16,0,6,5
1985,21.96919918,0,45,14,25,4,8,6
1985,21.97467488,0,38,8,17,3,1,6
1985,21.98836413,1,45,19,31,7,8,5
1985,21.99657769,0,37,8,20,1,6,1
1985,22,0,34,9,15,2,1,1
1985,22.0054757,0,30,6,13,4,2,5
1985,22.01368925,0,42,8,18,1,3,3
1985,22.0164271,1,32,15,20,1,4,4
1985,22.02464066,0,48,12,27,3,6,4
1985,22.02737851,0,35,8,17,1,5,3
1985,22.03285421,1,38,6,15,2,8,2
1985,22.03832991,0,41,13,21,6,8,2
1985,22.04380561,1,44,12,23,2,7,3
1985,22.04654346,1,42,13,28,2,5,2
1985,22.05201916,1,28,7,13,2,6,3
1985,22.05475702,0,38,9,21,2,4,5
1985,22.06023272,0,34,6,14,1,3,2
1985,22.06297057,1,39,11,24,3,5,2
1985,22.06844627,0,34,5,18,1,2,3
1985,22.07118412,1,42,11,15,1,8,3
1985,22.07665982,1,48,11,25,6,5,5
1985,22.08213552,0,42,11,22,2,2,3
1985,22.08487337,0,43,14,23,3,4,5
1985,22.09308693,1,43,5,17,3,6,1
1985,22.09582478,0,35,9,24,3,6,2
1985,22.10130048,1,40,13,24,4,5,5
1985,22.10677618,0,41,11,25,4,4,4
1985,22.11225188,0,42,13,19,2,3,1
1985,22.12046543,1,44,12,19,5,3,1
1985,22.12320329,1,40,12,19,1,5,5
1985,22.12867899,0,38,13,21,0,1,6
1985,22.13141684,1,43,12,18,2,5,4
1985,22.13689254,0,39,6,20,2,6,2
1985,22.14784394,0,36,11,16,2,1,3
1985,22.15058179,0,40,9,24,2,0,3
1986,22.6844627,1,39,13,26,3,3,5
1986,22.68720055,1,41,9,24,2,5,5
1986,22.6954141,1,18,6,10,0,2,1
1986,23.07118412,0,13,4,7,0,1,2
1986,23.07665982,0,14,4,16,3,1,0
1986,23.08213552,0,15,4,14,4,0,1
1986,23.08761123,0,16,7,16,2,0,3
1986,23.09034908,0,16,4,13,1,0,2
1986,23.09856263,1,19,5,12,1,2,3
1986,23.10677618,0,22,9,15,0,1,4
1986,23.10951403,1,23,10,17,1,0,2
1986,23.11772758,0,26,8,16,1,4,2
1986,23.12320329,1,28,12,19,1,4,1
1986,23.12867899,1,31,10,21,1,2,1
1986,23.13415469,1,31,10,18,1,4,3
1986,23.13689254,0,33,12,25,1,5,2
1986,23.14510609,1,37,12,36,1,4,5
1986,23.15058179,0,29,11,23,0,3,4
1987,23.70362765,1,41,15,31,2,4,2
1987,23.7063655,1,39,16,31,6,2,3
1987,23.7118412,1,44,14,31,3,5,2
1987,23.72005476,0,42,11,26,0,0,4
1987,23.72279261,1,39,17,27,3,3,2
1987,23.73100616,1,39,14,32,4,1,4
1987,23.73374401,0,39,9,25,0,4,4
1987,23.73921971,0,41,17,33,2,3,3
1987,23.75838467,1,40,14,26,1,5,2
1987,23.76112252,1,39,10,26,2,7,3
1987,23.77207392,0,41,13,31,2,7,5
1987,23.77754962,0,45,19,43,8,2,4
1987,23.78028747,0,42,11,30,3,2,3
1987,23.78850103,1,48,13,30,5,4,3
1987,23.79123888,0,40,17,33,0,3,3
1987,23.79671458,0,41,15,37,2,2,1
1987,23.79945243,0,44,18,38,5,0,4
1987,23.80766598,1,42,16,30,2,4,3
1987,23.81040383,0,39,15,25,2,2,3
1987,23.81587953,1,39,16,24,0,5,5
1987,23.81861739,0,31,3,17,0,4,2
1987,23.82683094,1,37,13,29,2,3,5
1987,23.83230664,1,39,15,27,2,1,2
1987,23.83778234,0,38,10,26,0,4,3
1987,23.84599589,1,35,18,33,4,1,2
1987,23.85147159,0,41,10,28,1,2,1
1987,23.8569473,1,36,20,29,2,2,1
1987,23.86516085,0,40,12,27,1,4,4
1987,23.8733744,0,40,13,31,6,2,2
1987,23.87611225,1,38,16,35,1,3,4
1987,23.8843258,1,38,13,23,0,2,5
1987,23.88980151,1,43,20,34,3,1,3
1987,23.89527721,1,36,8,24,1,6,3
1987,23.90896646,0,43,17,43,1,2,2
1987,23.91444216,1,44,17,34,5,5,2
1987,23.91991786,0,41,11,25,4,2,5
1987,23.92265572,1,39,11,22,2,5,2
1987,23.93086927,1,37,14,28,1,1,1
1987,23.93360712,0,27,11,20,0,0,4
1987,23.94182067,0,40,13,34,1,4,2
1987,23.94455852,0,37,11,23,1,3,3
1987,23.95003422,0,41,19,35,1,1,4
1987,23.95550992,0,44,14,39,4,1,5
1987,23.96098563,1,43,12,28,3,3,3
1987,23.96646133,0,44,12,24,2,5,2
1987,23.98015058,1,41,11,22,2,1,4
1987,23.98836413,1,41,14,28,0,3,3
1987,23.99110198,1,37,15,24,0,2,2
1987,23.99657769,0,48,13,30,1,6,5
1987,24.00821355,0,40,11,27,2,0,4
1987,24.01368925,1,39,16,29,2,2,1
1987,24.01916496,1,42,10,22,3,9,3
1987,24.02464066,1,37,16,25,1,7,4
1987,24.03011636,1,38,11,28,3,3,4
1987,24.03285421,0,39,10,23,3,1,4
1987,24.03832991,1,28,11,17,0,3,1
1987,24.04106776,1,43,22,39,3,4,0
1987,24.04654346,0,39,10,24,3,5,2
1987,24.05201916,1,44,11,28,3,3,2
1987,24.05475702,0,42,12,26,2,5,2
1987,24.06023272,0,44,19,34,4,4,4
1987,24.06570842,0,36,7,22,1,3,2
1987,24.06844627,0,47,5,20,1,6,0
1987,24.07392197,0,43,15,28,1,3,5
1987,24.07665982,0,42,7,21,0,3,3
1987,24.08213552,1,41,14,23,3,4,4
1987,24.08761123,1,44,13,25,1,2,2
1987,24.09034908,0,43,14,26,0,1,3
1987,24.09582478,1,44,22,32,1,6,2
1987,24.10130048,0,43,14,30,1,5,1
1987,24.10403833,0,40,9,23,3,4,3
1987,24.10951403,1,40,13,24,0,1,3
1987,24.11498973,1,34,12,18,0,3,2
1987,24.11772758,0,41,10,25,2,7,5
1987,24.12320329,0,45,13,22,1,1,4
1987,24.12594114,0,35,9,24,5,1,3
1987,24.13415469,1,26,13,21,2,3,0
1987,24.14236824,0,50,11,31,3,3,3
1987,24.14784394,1,42,19,27,2,2,2
1987,24.15058179,1,41,16,31,1,8,5
1987,24.15879535,0,41,22,38,5,5,3
1987,24.1615332,0,25,5,15,1,3,2
1988,24.72005476,1,38,15,25,2,3,3
1988,24.72826831,1,42,11,23,0,6,3
1988,24.73100616,1,40,10,20,1,2,4
1988,24.73648186,1,35,10,19,3,4,1
1988,24.73921971,0,40,14,29,3,2,3
1988,24.74743326,1,36,10,18,0,3,3
1988,24.75017112,1,40,9,21,1,2,3
1988,24.75564682,1,40,10,22,0,7,3
1988,24.75838467,0,44,17,38,2,4,6
1988,24.76386037,1,41,12,26,4,6,5
1988,24.76933607,1,39,13,24,1,2,5
1988,24.77481177,0,45,8,20,1,5,2
1988,24.77754962,1,41,12,22,3,4,4
1988,24.78576318,1,40,6,15,0,6,2
1988,24.78850103,1,39,17,27,2,2,4
1988,24.79397673,0,35,9,15,1,3,4
1988,24.79671458,0,40,15,22,1,1,3
1988,24.80492813,0,42,14,26,1,4,4
1988,24.81040383,1,40,11,18,1,6,2
1988,24.81587953,1,40,16,28,0,3,3
1988,24.82409309,0,50,12,26,3,5,6
1988,24.82956879,1,41,20,31,0,3,2
1988,24.83504449,0,43,12,23,0,2,3
1988,24.84325804,0,41,11,20,4,2,4
1988,24.84599589,0,39,5,15,1,4,3
1988,24.85420945,0,34,6,22,2,4,3
1988,24.862423,0,43,16,37,6,2,5
1988,24.8733744,1,37,9,19,3,7,4
1988,24.88158795,1,38,12,20,6,5,5
1988,24.88706366,1,42,11,22,3,6,2
1988,24.89253936,1,38,17,23,1,2,3
1988,24.90075291,0,43,19,35,2,2,0
1988,24.90622861,0,45,12,24,3,1,3
1988,24.91170431,1,38,12,26,4,6,3
1988,24.91718001,1,39,13,19,0,3,4
1988,24.91991786,0,41,14,22,0,3,0
1988,24.92813142,1,38,17,25,0,4,2
1988,24.93086927,1,38,13,19,3,4,5
1988,24.93908282,0,40,13,26,2,5,5
1988,24.94182067,1,46,12,21,2,2,5
1988,24.94729637,1,27,14,18,0,1,1
1988,24.95003422,1,44,10,17,1,4,3
1988,24.95550992,0,40,13,31,0,5,4
1988,24.95824778,0,40,14,26,1,1,3
1988,24.96372348,1,37,14,27,1,4,1
1988,24.97741273,0,42,7,22,1,6,4
1988,24.98015058,0,37,10,23,2,2,3
1988,24.98562628,1,43,9,19,0,6,3
1988,24.98836413,0,40,9,22,0,2,0
1988,24.99383984,1,38,13,22,3,10,2
1988,25.0054757,1,38,19,27,2,1,2
1988,25.0109514,0,45,16,31,1,3,3
1988,25.0164271,1,48,11,29,2,7,4
1988,25.02464066,0,43,21,34,2,6,5
1988,25.02737851,0,44,16,27,1,1,5
1988,25.03285421,0,46,13,22,1,4,1
1988,25.04106776,1,41,15,29,0,10,4
1988,25.04654346,1,27,9,13,0,6,2
1988,25.05201916,0,44,12,24,1,9,4
1988,25.06023272,1,42,17,34,5,4,2
1988,25.06570842,1,34,9,22,3,4,2
1988,25.07392197,1,37,17,29,4,2,2
1988,25.07665982,0,39,10,23,3,1,2
1988,25.08213552,1,42,19,32,2,3,4
1988,25.08761123,0,39,10,18,0,4,4
1988,25.09582478,1,42,20,35,5,8,4
1988,25.10130048,1,48,14,29,2,6,3
1988,25.10403833,1,42,16,27,0,3,2
1988,25.11225188,0,42,8,17,1,3,3
1988,25.11498973,1,34,15,25,2,4,3
1988,25.12046543,1,42,13,30,4,7,5
1988,25.12594114,1,42,21,27,2,2,4
1988,25.13141684,0,42,12,20,1,2,4
1988,25.13415469,1,44,12,22,1,5,5
1988,25.13963039,1,43,13,24,3,3,4
1988,25.15605749,1,38,12,28,2,4,3
1988,25.15879535,1,39,11,20,0,0,5
1988,25.16427105,1,38,17,29,1,2,4
1988,25.16974675,1,40,18,27,3,2,4
1988,25.17522245,0,41,17,33,3,0,5
1988,25.1779603,0,42,12,26,1,0,5
1988,25.183436,1,44,16,25,0,6,3
1989,25.71457906,0,43,10,19,1,4,5
1989,25.71731691,1,39,9,21,0,2,4
1989,25.72553046,0,39,13,21,2,1,5
1989,25.72826831,1,42,18,33,0,3,4
1989,25.73374401,1,41,14,24,1,5,2
1989,25.73648186,0,43,17,31,2,5,2
1989,25.74469541,1,43,14,27,1,5,2
1989,25.74743326,0,43,24,29,3,6,2
1989,25.75290897,1,49,12,21,1,8,4
1989,25.76386037,1,38,16,20,1,10,3
1989,25.76659822,0,41,7,15,2,10,4
1989,25.77481177,0,44,19,27,2,9,3
1989,25.78302533,0,43,11,24,2,8,3
1989,25.78576318,0,39,11,25,4,4,1
1989,25.79397673,1,43,16,31,3,8,5
1989,25.80219028,1,43,14,20,2,7,4
1989,25.80492813,0,40,4,16,3,4,1
1989,25.81040383,1,40,10,17,3,8,3
1989,25.81314168,1,37,14,25,2,9,3
1989,25.82135524,0,41,11,24,2,12,3
1989,25.82956879,1,38,10,22,3,4,4
1989,25.83230664,1,40,12,25,0,6,2
1989,25.84052019,1,39,11,23,4,3,0
1989,25.84873374,0,41,14,26,2,3,5
1989,25.85968515,0,42,18,30,3,9,3
1989,25.86516085,1,40,14,27,1,8,2
1989,25.8678987,1,37,13,26,2,5,1
1989,25.8788501,1,47,15,30,1,9,5
1989,25.8843258,0,41,13,24,2,9,2
1989,25.88706366,0,37,12,21,1,4,2
1989,25.89801506,1,41,17,29,4,6,2
1989,25.90075291,1,40,7,15,1,3,4
1989,25.90622861,1,46,13,24,1,11,4
1989,25.91170431,1,41,13,23,1,8,2
1989,25.91718001,1,44,10,18,1,5,4
1989,25.92265572,1,41,14,25,3,2,3
1989,25.92813142,0,41,20,28,1,13,4
1989,25.93634497,1,33,10,20,1,2,1
1989,25.93908282,0,45,14,25,0,6,5
1989,25.94455852,1,39,14,25,3,8,4
1989,25.95550992,0,41,7,24,3,9,6
1989,25.96098563,1,40,15,21,1,6,2
1989,25.96372348,0,45,10,24,2,4,3
1989,25.96919918,0,42,10,18,2,4,3
1989,25.97467488,1,32,11,20,2,5,3
1989,25.98015058,1,43,9,20,3,3,2
1989,25.99383984,0,36,11,14,2,3,4
1989,25.99931554,1,40,16,26,2,6,4
1989,26.0054757,1,40,9,19,0,3,4
1989,26.00821355,1,36,13,22,2,4,3
1989,26.01368925,1,37,10,14,0,4,4
1989,26.01916496,1,38,10,18,0,4,2
1989,26.02190281,0,30,7,12,1,4,3
1989,26.03011636,1,34,11,16,4,2,1
1989,26.03832991,1,41,10,18,2,6,4
1989,26.04106776,0,42,10,16,1,2,4
1989,26.04928131,0,39,15,27,3,8,2
1989,26.06023272,1,40,8,13,1,7,3
1989,26.06570842,1,30,7,15,3,11,0
1989,26.07118412,0,38,12,22,1,5,3
1989,26.07665982,1,41,9,16,1,4,5
1989,26.07939767,0,44,11,24,0,6,1
1989,26.08761123,1,43,7,20,1,7,3
1989,26.09034908,1,37,10,20,0,10,5
1989,26.09582478,1,40,10,20,3,4,4
1989,26.09856263,1,40,8,18,1,11,3
1989,26.10677618,1,40,13,24,1,11,4
1989,26.10951403,1,43,9,19,1,9,4
1989,26.11498973,0,43,15,29,2,8,4
1989,26.12046543,1,39,11,23,5,9,2
1989,26.12594114,1,40,10,15,4,6,1
1989,26.13141684,0,43,11,23,2,11,2
1989,26.13415469,0,42,11,18,1,6,6
1989,26.13963039,0,43,13,29,4,6,3
1989,26.15058179,0,46,17,30,2,9,3
1989,26.15331964,0,38,12,27,2,8,2
1989,26.15879535,0,27,8,14,0,3,2
1989,26.1615332,1,42,11,21,1,10,3
1989,26.16974675,0,39,9,20,2,3,4
1989,26.1724846,1,42,13,31,6,8,1
1989,26.1779603,0,35,9,19,3,2,3
1990,26.70910335,1,47,19,31,3,11,3
1990,26.7118412,0,34,10,18,0,5,5
1990,26.72005476,1,44,13,24,2,3,1
1990,26.72279261,1,40,15,24,1,5,2
1990,26.72826831,0,41,8,22,3,3,4
1990,26.73100616,1,34,8,15,0,4,4
1990,26.73921971,1,40,11,25,6,7,2
1990,26.74195756,0,38,12,26,1,9,3
1990,26.75017112,0,39,12,26,3,3,3
1990,26.75838467,0,36,5,13,0,0,1
1990,26.76112252,1,44,12,30,2,5,2
1990,26.76933607,1,41,12,29,6,8,3
1990,26.77207392,0,33,9,18,3,4,3
1990,26.77754962,1,39,8,15,0,9,4
1990,26.78850103,1,36,11,16,2,3,4
1990,26.79671458,1,33,15,27,8,9,0
1990,26.80492813,0,46,14,25,0,8,4
1990,26.80766598,1,36,13,21,0,9,3
1990,26.81587953,1,41,18,29,1,6,1
1990,26.82135524,1,25,14,20,2,5,2
1990,26.82683094,1,41,13,28,2,7,2
1990,26.83504449,1,44,15,29,0,7,1
1990,26.83778234,0,45,20,37,1,4,3
1990,26.84325804,1,32,10,17,0,4,4
1990,26.84599589,0,30,5,13,1,3,2
1990,26.85420945,1,35,12,17,1,1,4
1990,26.862423,1,42,10,26,1,4,4
1990,26.86516085,1,43,13,26,1,6,4
1990,26.87611225,1,46,15,32,1,7,4
1990,26.88158795,1,41,19,31,0,4,4
1990,26.8843258,0,41,13,23,1,8,3
1990,26.89253936,0,34,6,17,3,5,2
1990,26.89527721,0,42,13,30,2,5,0
1990,26.90075291,1,40,19,28,2,2,4
1990,26.90349076,1,34,11,21,0,5,1
1990,26.90896646,0,42,9,24,1,3,3
1990,26.91718001,1,33,17,30,3,9,3
1990,26.91991786,1,40,12,24,3,6,1
1990,26.92539357,1,41,10,17,1,9,4
1990,26.93086927,0,45,11,31,2,4,5
1990,26.93908282,0,42,12,27,2,3,3
1990,26.94182067,1,35,15,25,2,5,3
1990,26.94729637,1,30,7,14,2,5,2
1990,26.95550992,0,38,16,31,2,4,0
1990,26.96098563,0,46,17,32,3,0,3
1990,26.97193703,0,40,12,21,0,4,3
1990,26.97467488,0,37,5,18,0,1,2
1990,26.98836413,1,40,8,16,1,3,4
1990,26.99110198,0,47,21,43,1,6,1
1990,26.99657769,1,31,10,14,0,3,2
1990,27.00273785,1,36,15,26,1,2,4
1990,27.0054757,1,42,11,25,2,4,3
1990,27.0164271,1,35,12,25,2,8,4
1990,27.02190281,1,44,12,24,1,7,4
1990,27.02737851,1,41,13,25,2,4,4
1990,27.03559206,1,31,8,12,0,4,2
1990,27.04106776,1,40,11,23,0,6,4
1990,27.04654346,1,37,14,26,2,6,5
1990,27.05201916,0,47,12,29,5,2,5
1990,27.05749487,1,39,17,27,2,5,5
1990,27.06570842,1,42,11,19,2,6,2
1990,27.07392197,0,41,8,17,0,8,3
1990,27.07665982,1,39,13,21,2,6,2
1990,27.08487337,1,39,8,19,3,5,2
1990,27.08761123,1,38,10,20,2,2,2
1990,27.09308693,1,40,18,32,2,4,1
1990,27.09582478,0,39,16,28,1,4,3
1990,27.10130048,1,28,14,24,4,8,0
1990,27.10677618,1,50,23,37,7,11,5
1990,27.11225188,1,45,20,34,1,11,3
1990,27.11772758,1,41,20,29,2,4,2
1990,27.12320329,1,44,8,19,1,3,4
1990,27.12867899,1,39,14,23,1,6,2
1990,27.13415469,1,40,15,26,2,1,3
1990,27.14510609,1,31,9,15,1,4,5
1990,27.15058179,1,39,10,16,1,5,3
1990,27.15331964,0,37,10,21,1,2,4
1990,27.15879535,0,45,11,24,3,4,5
1990,27.1615332,1,36,13,24,1,10,3
1990,27.1670089,1,36,12,26,3,3,4
1990,27.16974675,0,35,21,29,1,7,5
1990,27.17522245,0,37,10,23,3,7,3
1991,27.7063655,0,34,14,24,3,2,4
1991,27.70910335,0,46,11,22,4,6,2
1991,27.71731691,0,45,14,28,3,5,4
1991,27.72005476,1,39,7,14,2,3,5
1991,27.72553046,1,34,17,25,1,4,3
1991,27.72826831,1,36,8,15,1,5,1
1991,27.73648186,1,38,10,22,3,8,1
1991,27.74195756,0,38,6,12,2,6,4
1991,27.74743326,1,27,13,20,1,3,0
1991,27.75017112,0,41,12,25,0,5,4
1991,27.75838467,0,40,15,32,0,4,1
1991,27.76386037,1,31,5,12,3,3,3
1991,27.76659822,1,40,14,24,1,6,3
1991,27.77754962,1,27,11,15,0,2,2
1991,27.78302533,1,33,15,19,1,4,4
1991,27.78576318,1,30,13,18,0,2,2
1991,27.79397673,1,35,12,22,1,3,5
1991,27.80219028,1,39,14,25,4,3,3
1991,27.80492813,0,40,16,28,0,6,3
1991,27.81314168,0,39,13,23,0,4,2
1991,27.82135524,1,30,8,15,2,6,3
1991,27.82409309,1,27,11,17,5,4,1
1991,27.83230664,1,36,14,22,3,6,2
1991,27.83504449,0,37,13,22,3,2,2
1991,27.84052019,1,44,14,30,8,7,3
1991,27.84325804,1,34,10,20,2,5,4
1991,27.85147159,1,43,14,23,3,5,5
1991,27.8569473,1,34,17,25,1,13,3
1991,27.862423,1,37,10,24,3,7,2
1991,27.87611225,0,33,13,22,0,3,2
1991,27.88158795,1,37,12,26,1,2,4
1991,27.88980151,1,32,18,28,2,4,1
1991,27.89253936,1,41,16,27,0,4,3
1991,27.89801506,1,42,12,23,0,6,4
1991,27.90075291,1,38,11,21,3,0,4
1991,27.90622861,1,45,13,27,1,9,5
1991,27.91170431,1,38,11,27,0,4,5
1991,27.91718001,0,41,13,28,0,7,2
1991,27.92539357,1,39,17,28,1,5,1
1991,27.93086927,0,41,9,23,4,2,4
1991,27.93634497,1,28,10,14,0,3,2
1991,27.95277207,0,39,9,22,0,3,6
1991,27.95550992,1,38,10,18,1,5,0
1991,27.96098563,0,40,10,22,1,6,1
1991,27.96372348,1,33,7,14,1,1,4
1991,27.97193703,1,41,10,21,1,8,1
1991,27.98562628,1,37,12,22,0,4,2
1991,27.99110198,1,36,13,20,0,2,2
1991,27.99657769,1,39,11,26,2,9,0
1991,28.00273785,1,38,11,24,1,5,3
1991,28.0054757,1,38,15,27,3,9,4
1991,28.01368925,1,28,11,17,1,2,2
1991,28.0164271,1,35,12,22,0,3,2
1991,28.02464066,1,35,17,29,2,6,1
1991,28.03285421,1,35,11,20,1,10,2
1991,28.03559206,0,38,8,23,0,5,4
1991,28.04380561,1,37,9,23,2,7,3
1991,28.05201916,1,39,14,29,1,4,3
1991,28.05749487,1,30,10,13,2,7,4
1991,28.06297057,1,29,7,15,2,3,2
1991,28.06570842,1,41,15,26,1,7,4
1991,28.07118412,1,40,12,21,1,4,3
1991,28.07392197,1,38,14,25,0,3,3
1991,28.07939767,1,29,11,19,0,6,2
1991,28.08487337,1,30,9,14,0,5,3
1991,28.09034908,0,40,8,23,1,4,5
1991,28.09308693,1,40,15,25,0,2,4
1991,28.09856263,0,37,15,25,5,2,3
1991,28.10677618,1,30,16,26,1,0,4
1991,28.10951403,1,35,7,17,0,5,2
1991,28.11498973,0,51,12,36,3,4,3
1991,28.12046543,1,41,17,26,0,4,2
1991,28.12594114,1,35,15,30,2,6,1
1991,28.12867899,0,36,13,26,0,5,4
1991,28.13415469,0,48,16,27,1,3,2
1991,28.13963039,1,37,10,18,0,6,0
1991,28.14236824,1,41,12,21,0,5,3
1991,28.14784394,0,43,13,24,3,5,5
1991,28.15605749,1,39,17,27,0,5,3
1991,28.1615332,1,40,9,20,2,3,2
1991,28.1670089,1,39,15,22,3,2,5
1991,28.1724846,1,30,6,15,2,1,2
1992,28.70362765,1,30,11,18,1,4,2
1992,28.7063655,0,42,19,29,0,3,1
1992,28.71457906,0,46,17,22,2,5,5
1992,28.71731691,1,38,16,26,0,3,2
1992,28.72279261,1,36,10,15,1,6,1
1992,28.72553046,1,35,13,26,2,3,2
1992,28.73374401,1,29,8,14,0,3,4
1992,28.73648186,1,33,11,19,1,5,1
1992,28.74195756,1,37,5,10,2,5,2
1992,28.75564682,1,45,12,25,1,8,3
1992,28.76112252,1,45,11,26,1,5,6
1992,28.76386037,1,41,15,28,0,6,5
1992,28.77207392,1,33,11,19,1,9,3
1992,28.78028747,1,51,16,39,3,5,4
1992,28.78302533,1,39,13,21,0,6,4
1992,28.79397673,1,41,7,20,1,8,4
1992,28.79945243,1,34,8,19,1,10,3
1992,28.80219028,0,41,12,25,3,11,2
1992,28.81040383,1,39,7,20,3,8,3
1992,28.81861739,1,43,9,18,1,7,2
1992,28.82135524,1,33,12,19,3,6,3
1992,28.82956879,0,38,6,20,0,4,3
1992,28.83778234,1,30,8,18,1,4,0
